id,name,topic,country,country_name,url,description,provider,formats,size,records,license,license_url,access,commercial_use,cite,path
data-police-uk,data.police.uk,crime-and-policing,gb,United Kingdom,https://data.police.uk/data/,"Street-level crime and outcome data for every police force in England, Wales and Northern Ireland, published monthly with anonymised coordinates and a free API.",Home Office,CSV; REST API; JSON,~10 GB full archive,60 million+ crimes since 2010,Open Government Licence v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,open,yes,"data.police.uk, Home Office",topics/crime-and-policing/gb/dataset-01.json
ons-crime-in-england-and-wales,ONS Crime in England and Wales,crime-and-policing,gb,United Kingdom,https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice,"National crime statistics combining police recorded crime with the Crime Survey for England and Wales, covering trends, victim characteristics and fraud.",Office for National Statistics,CSV; XLSX,Varies by release,Quarterly and annual series,Open Government Licence v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,open,yes,"Office for National Statistics, Crime and Justice",topics/crime-and-policing/gb/dataset-02.json
ministry-of-justice-statistics,Ministry of Justice Statistics,crime-and-policing,gb,United Kingdom,https://www.gov.uk/government/organisations/ministry-of-justice/about/statistics,"Criminal justice system statistics covering court proceedings, sentencing, prison population, probation, reoffending and legal aid.",Ministry of Justice,CSV; XLSX; ODS,Multi-GB,Quarterly and annual series,Open Government Licence v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,open,yes,Ministry of Justice statistics,topics/crime-and-policing/gb/dataset-03.json
home-office-police-workforce-statistics,Home Office Police Workforce Statistics,crime-and-policing,gb,United Kingdom,https://www.gov.uk/government/collections/police-workforce-england-and-wales,"Officer and staff headcounts by force, rank, function, ethnicity and gender, alongside joiners, leavers and diversity breakdowns.",Home Office,CSV; ODS; XLSX,~200 MB,Biannual series by force,Open Government Licence v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,open,yes,"Home Office, Police workforce England and Wales",topics/crime-and-policing/gb/dataset-04.json
uk-data-service-crime-surveys,UK Data Service Crime Surveys,crime-and-policing,gb,United Kingdom,https://ukdataservice.ac.uk/,"Archive of deposited social survey microdata including the Crime Survey for England and Wales, Offending Crime and Justice Survey and police force data.",UK Data Service,Stata; SPSS; CSV; Tab-delimited,Varies by study,"9,000+ archived data collections",End User Licence; registration and agreement required,https://ukdataservice.ac.uk/app/uploads/cd137-enduserlicence.pdf,agreement,no,UK Data Service,topics/crime-and-policing/gb/dataset-05.json
ncrb-crime-in-india,NCRB Crime in India,crime-and-policing,in,India,https://www.ncrb.gov.in/crime-in-india.html,"The annual national crime statistics report with state and city level counts by offence head, victim and accused demographics, and case disposal outcomes.",National Crime Records Bureau,PDF; XLSX; CSV,~2 GB per edition,Annual editions from 1953,Government Open Data License - India,https://www.data.gov.in/government-open-data-license-india,open,yes,"National Crime Records Bureau, Crime in India",topics/crime-and-policing/in/dataset-01.json
india-justice-report,India Justice Report,crime-and-policing,in,India,https://indiajusticereport.org/,"A cross-state ranking of police, judiciary, prisons and legal aid capacity, built from official budget, staffing, diversity and caseload returns.",India Justice Report consortium,PDF; XLSX; Web dashboard,~500 MB,All states and union territories across four justice pillars,Free for non-commercial use with attribution,https://indiajusticereport.org/,open,no,India Justice Report,topics/crime-and-policing/in/dataset-02.json
ncrb-prison-statistics-india,NCRB Prison Statistics India,crime-and-policing,in,India,https://www.ncrb.gov.in/prison-statistics-india.html,"Annual prison census covering inmate population, undertrials, occupancy rates, demographics, escapes and prison staffing by state.",National Crime Records Bureau,PDF; XLSX,~300 MB per edition,"1,300+ prisons, annual editions",Government Open Data License - India,https://www.data.gov.in/government-open-data-license-india,open,yes,"National Crime Records Bureau, Prison Statistics India",topics/crime-and-policing/in/dataset-03.json
data-gov-in-public-safety-and-justice,data.gov.in Public Safety and Justice,crime-and-policing,in,India,https://www.data.gov.in/sector/public-safety-law-and-justice,"Open government catalogue of crime, policing and justice datasets covering registered cases, police strength, cyber crime and women's safety.",National Informatics Centre,CSV; XLSX; JSON; REST API,Varies by resource,"2,000+ public safety resources",Government Open Data License - India,https://www.data.gov.in/government-open-data-license-india,open,yes,Open Government Data Platform India,topics/crime-and-policing/in/dataset-04.json
ministry-of-home-affairs-publications,Ministry of Home Affairs Publications,crime-and-policing,in,India,https://www.mha.gov.in/,"Annual reports and statistical publications on internal security, police modernisation, border management, disaster response and census administration.",Ministry of Home Affairs,PDF; XLSX,~500 MB,Annual editions covering all state police forces,Government Open Data License - India,https://www.data.gov.in/government-open-data-license-india,open,yes,"Ministry of Home Affairs, Government of India",topics/crime-and-policing/in/dataset-05.json
fbi-crime-data-explorer,FBI Crime Data Explorer,crime-and-policing,us,United States,https://cde.ucr.cjis.gov/,"National incident-based and summary crime statistics from participating law enforcement agencies, covering offences, arrests, clearances, hate crime and use of force.",Federal Bureau of Investigation,CSV; REST API; JSON,~20 GB,"Millions of incidents per year from 18,000+ agencies",US Government public domain,https://cde.ucr.cjis.gov/,open,yes,"FBI Crime Data Explorer, Uniform Crime Reporting Program",topics/crime-and-policing/us/dataset-01.json
bureau-of-justice-statistics-data-collections,Bureau of Justice Statistics Data Collections,crime-and-policing,us,United States,https://bjs.ojp.gov/data-collections,"National surveys and censuses of victimisation, prisons, jails, courts, prosecution and law enforcement agencies, with downloadable microdata.",Bureau of Justice Statistics,CSV; SAS; Stata; ASCII,Multi-GB,50+ ongoing data collections,US Government public domain,https://bjs.ojp.gov/,open,yes,"Bureau of Justice Statistics, US Department of Justice",topics/crime-and-policing/us/dataset-02.json
nyc-police-complaint-data,NYC Police Complaint Data,crime-and-policing,us,United States,https://data.cityofnewyork.us/Public-Safety/NYPD-Complaint-Data-Historic/qgea-i56i,"Every felony, misdemeanour and violation complaint reported to the NYPD since 2006, with offence classification, coordinates, premises type and suspect and victim demographics.",New York City Police Department,CSV; JSON; GeoJSON; REST API,~2 GB,9 million+ complaints since 2006,NYC Open Data Terms of Use,https://opendata.cityofnewyork.us/overview/,open,yes,"NYC Open Data, NYPD Complaint Data Historic",topics/crime-and-policing/us/dataset-03.json
chicago-crimes-dataset,Chicago Crimes Dataset,crime-and-policing,us,United States,https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2,"Reported crimes in Chicago from 2001 onward with block-level location, IUCR offence code, arrest flag, beat, district and community area.",City of Chicago,CSV; JSON; GeoJSON; REST API,~2 GB,8 million+ reported crimes,City of Chicago open data terms,https://www.chicago.gov/city/en/narr/foia/data_disclaimer.html,open,yes,"Chicago Data Portal, Crimes 2001 to Present",topics/crime-and-policing/us/dataset-04.json
national-archive-of-criminal-justice-data,National Archive of Criminal Justice Data,crime-and-policing,us,United States,https://www.icpsr.umich.edu/web/pages/NACJD/index.html,"Archive of thousands of criminal justice research datasets with documentation, spanning policing experiments, sentencing, corrections and victimisation studies.","ICPSR, University of Michigan",Stata; SPSS; SAS; CSV,Varies by study,"3,000+ archived studies",Varies by study; many require free registration,https://www.icpsr.umich.edu/web/pages/datamanagement/confidentiality/conf-terms.html,registration,check,"National Archive of Criminal Justice Data, ICPSR",topics/crime-and-policing/us/dataset-05.json
emsc-euro-mediterranean-seismological-centre,EMSC Euro-Mediterranean Seismological Centre,earthquakes-and-natural-hazards,eu,European Union,https://www.emsc-csem.org/,"Real-time and archived earthquake locations for the Euro-Mediterranean region, with felt reports, moment tensors and a public API.",European-Mediterranean Seismological Centre,REST API; JSON; QuakeML; CSV,~20 GB,Millions of located events,Free for research and public use with attribution,https://www.emsc-csem.org/,open,check,European-Mediterranean Seismological Centre (EMSC),topics/earthquakes-and-natural-hazards/eu/dataset-01.json
orfeus-eida-seismic-waveforms,ORFEUS EIDA Seismic Waveforms,earthquakes-and-natural-hazards,eu,European Union,https://www.orfeus-eu.org/,"Federated access to continuous seismic waveform archives from European networks, with standard FDSN web services for stations and events.",ORFEUS and European seismic networks,miniSEED; StationXML; FDSN web services,Petabyte-scale,Thousands of stations across Europe,Mostly CC BY 4.0; varies by network,https://www.orfeus-eu.org/,open,check,"ORFEUS, Observatories and Research Facilities for European Seismology",topics/earthquakes-and-natural-hazards/eu/dataset-02.json
copernicus-emergency-management-service,Copernicus Emergency Management Service,earthquakes-and-natural-hazards,eu,European Union,https://emergency.copernicus.eu/,"Rapid mapping and risk products for floods, wildfires, earthquakes and storms, with delineation and damage assessment layers for activated events.",European Commission and Copernicus,GeoTIFF; Shapefile; GeoJSON; PDF,Multi-TB,700+ activations since 2012,"Copernicus open licence, free reuse with attribution",https://emergency.copernicus.eu/,open,yes,"Copernicus Emergency Management Service, European Commission",topics/earthquakes-and-natural-hazards/eu/dataset-03.json
european-flood-awareness-system,European Flood Awareness System,earthquakes-and-natural-hazards,eu,European Union,https://www.efas.eu/,"Pan-European probabilistic flood forecasts, river discharge reanalysis and historical flood event data at continental scale.",Copernicus Emergency Management Service and JRC,NetCDF; GRIB; Web,~50 TB,Continental coverage with daily forecasts,"Copernicus open licence, free reuse with attribution",https://www.efas.eu/,registration,yes,"European Flood Awareness System (EFAS), Copernicus EMS",topics/earthquakes-and-natural-hazards/eu/dataset-04.json
efehr-european-seismic-hazard-model,EFEHR European Seismic Hazard Model,earthquakes-and-natural-hazards,eu,European Union,https://www.efehr.org/,"The harmonised European seismic hazard and risk model with ground motion exceedance maps, fault databases and national hazard comparisons.",European Facilities for Earthquake Hazard and Risk,GeoTIFF; CSV; XML,~20 GB,Pan-European hazard grids and fault catalogues,CC BY 4.0,https://www.efehr.org/,open,yes,"EFEHR, European Seismic Hazard Model",topics/earthquakes-and-natural-hazards/eu/dataset-05.json
japan-meteorological-agency-earthquake-information,Japan Meteorological Agency Earthquake Information,earthquakes-and-natural-hazards,jp,Japan,https://www.jma.go.jp/jma/en/Activities/earthquake.html,"Official Japanese seismic monitoring products including hypocentre catalogues, seismic intensity observations and tsunami warnings.",Japan Meteorological Agency,CSV; XML; PDF,Varies by product,Catalogues spanning over a century,"JMA terms of use, free reuse with attribution",https://www.jma.go.jp/jma/en/copyright.html,open,yes,Japan Meteorological Agency,topics/earthquakes-and-natural-hazards/jp/dataset-01.json
nied-k-net-and-kik-net-strong-motion,NIED K-NET and KiK-net Strong Motion,earthquakes-and-natural-hazards,jp,Japan,https://www.kyoshin.bosai.go.jp/,"Strong-motion accelerograms from over a thousand nationwide seismographs, the reference ground motion dataset for earthquake engineering research.",National Research Institute for Earth Science and Disaster Resilience,ASCII; SAC; ZIP,Multi-TB,"1,000+ stations recording since 1996",Free for research with registration and attribution,https://www.kyoshin.bosai.go.jp/,registration,check,"National Research Institute for Earth Science and Disaster Resilience, K-NET and KiK-net",topics/earthquakes-and-natural-hazards/jp/dataset-02.json
nied-hi-net-high-sensitivity-seismograph-network,NIED Hi-net High Sensitivity Seismograph Network,earthquakes-and-natural-hazards,jp,Japan,https://www.hinet.bosai.go.jp/,Continuous waveform data and automatic hypocentre determinations from Japan's dense high-sensitivity borehole seismometer network.,National Research Institute for Earth Science and Disaster Resilience,WIN32; SEED; CSV,Petabyte-scale,800+ stations with continuous recording,Free for research with registration and attribution,https://www.hinet.bosai.go.jp/,registration,check,"NIED Hi-net, National Research Institute for Earth Science and Disaster Resilience",topics/earthquakes-and-natural-hazards/jp/dataset-03.json
e-stat-portal-of-official-statistics-of-japan,e-Stat Portal of Official Statistics of Japan,earthquakes-and-natural-hazards,jp,Japan,https://www.e-stat.go.jp/en,"Japan's unified statistics portal covering population, economy, disaster damage, housing and land use, with a documented API and bulk downloads.",Statistics Bureau of Japan,CSV; XLSX; REST API,Varies by table,Hundreds of thousands of statistical tables,"Japan Government Standard Terms of Use, CC BY compatible",https://www.e-stat.go.jp/en/terms-of-use,registration,yes,"e-Stat, Statistics Bureau of Japan",topics/earthquakes-and-natural-hazards/jp/dataset-04.json
gsi-geospatial-information-authority-of-japan,GSI Geospatial Information Authority of Japan,earthquakes-and-natural-hazards,jp,Japan,https://www.gsi.go.jp/ENGLISH/index.html,"National mapping data including elevation models, base maps, crustal deformation observations from GNSS and hazard-related geospatial layers.",Geospatial Information Authority of Japan,GeoTIFF; Shapefile; XML; Tiles,Terabyte-scale,National coverage of Japan,"GSI terms of use, free reuse with attribution",https://www.gsi.go.jp/ENGLISH/page_e30286.html,open,yes,Geospatial Information Authority of Japan,topics/earthquakes-and-natural-hazards/jp/dataset-05.json
usgs-earthquake-catalog,USGS Earthquake Catalog,earthquakes-and-natural-hazards,us,United States,https://earthquake.usgs.gov/earthquakes/search/,"Global catalogue of located earthquakes with magnitude, depth, coordinates, origin time and moment tensors, served through a documented query API.",US Geological Survey,GeoJSON; CSV; QuakeML; REST API,~10 GB,4 million+ located events,US Government public domain,https://www.usgs.gov/information-policies-and-instructions/copyrights-and-credits,open,yes,"US Geological Survey, Earthquake Hazards Program",topics/earthquakes-and-natural-hazards/us/dataset-01.json
usgs-shakemap-and-ground-motion,USGS ShakeMap and Ground Motion,earthquakes-and-natural-hazards,us,United States,https://earthquake.usgs.gov/data/shakemap/,"Near-real-time maps of ground shaking intensity, peak acceleration and velocity generated for significant earthquakes, with grid downloads for loss modelling.",US Geological Survey,GeoTIFF; XML; GeoJSON; KML,Varies by event,Thousands of mapped events,US Government public domain,https://www.usgs.gov/information-policies-and-instructions/copyrights-and-credits,open,yes,"US Geological Survey, ShakeMap",topics/earthquakes-and-natural-hazards/us/dataset-02.json
fema-openfema,FEMA OpenFEMA,earthquakes-and-natural-hazards,us,United States,https://www.fema.gov/about/openfema/data-sets,"Disaster declarations, individual and public assistance awards, flood insurance claims and policy records published as open datasets with an API.",Federal Emergency Management Agency,CSV; JSON; Parquet; REST API,~50 GB,Millions of claims and assistance records,US Government public domain,https://www.fema.gov/about/openfema/terms-conditions,open,yes,"OpenFEMA, Federal Emergency Management Agency",topics/earthquakes-and-natural-hazards/us/dataset-03.json
noaa-billion-dollar-weather-and-climate-disasters,NOAA Billion-Dollar Weather and Climate Disasters,earthquakes-and-natural-hazards,us,United States,https://www.ncei.noaa.gov/access/billions/,"A curated record of US weather and climate disasters exceeding one billion dollars in damage, with CPI-adjusted cost, deaths and event geography since 1980.",NOAA NCEI,CSV; JSON,~50 MB,400+ billion-dollar events since 1980,US Government public domain,https://www.ncei.noaa.gov/,open,yes,"NOAA National Centers for Environmental Information, Billion-Dollar Weather and Climate Disasters",topics/earthquakes-and-natural-hazards/us/dataset-04.json
nasa-firms-active-fire-data,NASA FIRMS Active Fire Data,earthquakes-and-natural-hazards,us,United States,https://firms.modaps.eosdis.nasa.gov/,"Near-real-time satellite detections of active fires and thermal anomalies from MODIS and VIIRS, with archive downloads and a fire information API.",NASA,CSV; Shapefile; KML; REST API,~100 GB archive,Global detections since 2000,"NASA open data policy, free and open",https://firms.modaps.eosdis.nasa.gov/,registration,yes,"NASA FIRMS, Fire Information for Resource Management System",topics/earthquakes-and-natural-hazards/us/dataset-05.json
olist-brazilian-e-commerce-public-dataset,Olist Brazilian E-Commerce Public Dataset,ecommerce-and-retail,br,Brazil,https://www.kaggle.com/datasets/olistbr/brazilian-ecommerce,"Real anonymised orders from a Brazilian marketplace with items, payments, freight, delivery timestamps, geolocation and customer review scores across nine relational tables.",Olist,CSV,~120 MB,"100,000 orders (2016-2018)",CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,registration,no,"Olist and André Sionek, Brazilian E-Commerce Public Dataset by Olist, Kaggle",topics/ecommerce-and-retail/br/dataset-01.json
ibge-pesquisa-mensal-de-com-rcio,IBGE Pesquisa Mensal de Comércio,ecommerce-and-retail,br,Brazil,https://www.ibge.gov.br/estatisticas/economicas/comercio.html,"Official monthly retail trade volume and revenue indices by activity and state, Brazil's headline retail indicator.",Instituto Brasileiro de Geografia e Estatística,XLSX; CSV; REST API,Varies by series,Monthly series from 2000,Free use with attribution to IBGE,https://www.ibge.gov.br/acesso-informacao/institucional/copyright.html,open,yes,"IBGE, Pesquisa Mensal de Comércio",topics/ecommerce-and-retail/br/dataset-02.json
ibge-sidra-api,IBGE SIDRA API,ecommerce-and-retail,br,Brazil,https://sidra.ibge.gov.br/,"Query interface and API over every IBGE aggregate table, covering retail, prices, production and services down to municipality level.",Instituto Brasileiro de Geografia e Estatística,REST API; CSV; XLSX,Varies by table,"8,000+ aggregate tables",Free use with attribution to IBGE,https://www.ibge.gov.br/acesso-informacao/institucional/copyright.html,open,yes,"IBGE, Sistema IBGE de Recuperação Automática (SIDRA)",topics/ecommerce-and-retail/br/dataset-03.json
portal-brasileiro-de-dados-abertos,Portal Brasileiro de Dados Abertos,ecommerce-and-retail,br,Brazil,https://dados.gov.br/,"Federal open data catalogue aggregating datasets from every ministry, including commerce, consumer complaints, tax and procurement records.",Government of Brazil,CSV; JSON; XML; REST API,Varies by dataset,"10,000+ datasets",Varies by publisher; commonly CC BY,https://dados.gov.br/,open,check,Portal Brasileiro de Dados Abertos,topics/ecommerce-and-retail/br/dataset-04.json
consumidor-gov-br-complaint-data,Consumidor.gov.br Complaint Data,ecommerce-and-retail,br,Brazil,https://www.consumidor.gov.br/pages/dadosabertos/externo/,"Every consumer complaint filed against registered companies, with sector, problem type, company response, resolution status and satisfaction rating.",Secretaria Nacional do Consumidor,CSV,~2 GB,Millions of complaints since 2014,"Open government data, attribution requested",https://www.consumidor.gov.br/,open,yes,"Consumidor.gov.br, Senacon",topics/ecommerce-and-retail/br/dataset-05.json
ons-retail-sales-index,ONS Retail Sales Index,ecommerce-and-retail,gb,United Kingdom,https://www.ons.gov.uk/businessindustryandtrade/retailindustry,"Monthly volume and value of retail sales by store type, with the internet sales share of total retail, the UK's headline consumer spending indicator.",Office for National Statistics,CSV; XLSX; REST API,~200 MB,Monthly series from 1988,Open Government Licence v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,open,yes,"Office for National Statistics, Retail Sales Index",topics/ecommerce-and-retail/gb/dataset-01.json
ons-e-commerce-and-ict-activity,ONS E-commerce and ICT Activity,ecommerce-and-retail,gb,United Kingdom,https://www.ons.gov.uk/businessindustryandtrade/itandinternetindustry,"Annual survey of business internet use, e-commerce sales value, website functionality, cloud adoption and broadband connectivity by industry and size band.",Office for National Statistics,CSV; XLSX,~100 MB,Annual series from 2008,Open Government Licence v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,open,yes,"Office for National Statistics, E-commerce and ICT activity",topics/ecommerce-and-retail/gb/dataset-02.json
food-hygiene-rating-scheme-open-data,Food Hygiene Rating Scheme Open Data,ecommerce-and-retail,gb,United Kingdom,https://ratings.food.gov.uk/open-data,"Hygiene inspection ratings, addresses, coordinates and business types for every food business in the UK, refreshed daily as open XML and JSON.",Food Standards Agency,XML; JSON; REST API,~500 MB,"600,000+ food businesses",Open Government Licence v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,open,yes,"Food Standards Agency, Food Hygiene Rating Scheme open data",topics/ecommerce-and-retail/gb/dataset-03.json
ons-consumer-price-inflation,ONS Consumer Price Inflation,ecommerce-and-retail,gb,United Kingdom,https://www.ons.gov.uk/economy/inflationandpriceindices,"Item-level consumer price indices and the underlying price quotes collected in shops and online, published monthly with full item and region detail.",Office for National Statistics,CSV; XLSX; REST API,~2 GB,"180,000+ price quotes collected monthly",Open Government Licence v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,open,yes,"Office for National Statistics, Consumer price inflation",topics/ecommerce-and-retail/gb/dataset-04.json
defra-family-food-statistics,DEFRA Family Food Statistics,ecommerce-and-retail,gb,United Kingdom,https://www.gov.uk/government/collections/family-food-statistics,"Annual household purchases of food and drink by quantity, spend and nutrient content, broken down by income group, region and household composition.","Department for Environment, Food and Rural Affairs",ODS; CSV,~200 MB,Annual series from 1974,Open Government Licence v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,open,yes,"DEFRA, Family Food statistics",topics/ecommerce-and-retail/gb/dataset-05.json
census-monthly-retail-trade-survey,Census Monthly Retail Trade Survey,ecommerce-and-retail,us,United States,https://www.census.gov/retail/index.html,"Official monthly retail and food services sales, inventories and e-commerce share by NAICS category, the headline US consumer spending indicator.",US Census Bureau,CSV; XLSX; REST API,~50 MB,Monthly series from 1992,US Government public domain,https://www.census.gov/about/policies/open-gov.html,open,yes,"US Census Bureau, Monthly Retail Trade Survey",topics/ecommerce-and-retail/us/dataset-01.json
bls-consumer-price-index,BLS Consumer Price Index,ecommerce-and-retail,us,United States,https://www.bls.gov/cpi/data.htm,"Item-level price indices across hundreds of consumer goods and services categories, by region and metro area, with full historical revisions.",Bureau of Labor Statistics,TXT; CSV; REST API,~1 GB flat files,Monthly series from 1913,US Government public domain,https://www.bls.gov/bls/linksite.htm,open,yes,"US Bureau of Labor Statistics, Consumer Price Index",topics/ecommerce-and-retail/us/dataset-02.json
usda-branded-food-products-database,USDA Branded Food Products Database,ecommerce-and-retail,us,United States,https://fdc.nal.usda.gov/download-datasets,"Label data for hundreds of thousands of branded grocery products including ingredients, serving sizes, nutrients, UPC codes and brand owner.",USDA Agricultural Research Service,CSV; JSON; REST API,~2 GB,1.9 million+ food products,US Government public domain,https://fdc.nal.usda.gov/api-guide.html,open,yes,USDA FoodData Central,topics/ecommerce-and-retail/us/dataset-03.json
census-annual-retail-trade-survey,Census Annual Retail Trade Survey,ecommerce-and-retail,us,United States,https://www.census.gov/programs-surveys/arts.html,"Annual sales, e-commerce sales, inventories, purchases and gross margins for retail firms broken out by detailed industry.",US Census Bureau,CSV; XLSX,~100 MB,Annual series from 1951,US Government public domain,https://www.census.gov/about/policies/open-gov.html,open,yes,"US Census Bureau, Annual Retail Trade Survey",topics/ecommerce-and-retail/us/dataset-04.json
open-food-facts,Open Food Facts,ecommerce-and-retail,us,United States,https://world.openfoodfacts.org/data,"Crowd-sourced product database with barcodes, ingredients, allergens, nutrition facts, packaging and photos, downloadable in full.",Open Food Facts,CSV; JSONL; MongoDB dump; Parquet,~10 GB,3 million+ products worldwide,"ODbL 1.0 (database), CC BY-SA 3.0 (contents)",https://world.openfoodfacts.org/terms-of-use,open,yes,Open Food Facts contributors,topics/ecommerce-and-retail/us/dataset-05.json
explore-education-statistics,Explore Education Statistics,education-and-schools,gb,United Kingdom,https://explore-education-statistics.service.gov.uk/,"The Department for Education's statistics platform covering attainment, absence, exclusions, school workforce, funding and destinations, with a public API.",Department for Education,CSV; REST API; XLSX,Multi-GB,Hundreds of releases with school and local authority detail,Open Government Licence v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,open,yes,"Department for Education, Explore Education Statistics",topics/education-and-schools/gb/dataset-01.json
get-information-about-schools,Get Information About Schools,education-and-schools,gb,United Kingdom,https://get-information-schools.service.gov.uk/,"The register of every school, college and trust in England with URN, phase, capacity, Ofsted rating, governance and full address history.",Department for Education,CSV; REST API,~1 GB,"50,000+ establishments including closed ones",Open Government Licence v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,open,yes,"Department for Education, Get Information About Schools",topics/education-and-schools/gb/dataset-02.json
find-school-and-college-performance,Find School and College Performance,education-and-schools,gb,United Kingdom,https://www.compare-school-performance.service.gov.uk/,"Published performance tables with Progress 8, Attainment 8, phonics, key stage results, A level outcomes and pupil destinations for every English school.",Department for Education,CSV; XLSX,~2 GB,"Annual tables for 24,000+ schools",Open Government Licence v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,open,yes,"Department for Education, School and college performance tables",topics/education-and-schools/gb/dataset-03.json
hesa-higher-education-statistics,HESA Higher Education Statistics,education-and-schools,gb,United Kingdom,https://www.hesa.ac.uk/data-and-analysis,"Student enrolments, qualifications, graduate outcomes, staff and finance data for every UK higher education provider.",Higher Education Statistics Agency / Jisc,CSV; XLSX,~5 GB,2.9 million students across 280+ providers,Open Government Licence v3.0 for open tables; detailed data requires a licence,https://www.hesa.ac.uk/about/regulation/data-protection/copyright,open,check,Higher Education Statistics Agency (HESA),topics/education-and-schools/gb/dataset-04.json
ofsted-inspection-data,Ofsted Inspection Data,education-and-schools,gb,United Kingdom,https://www.gov.uk/government/collections/maintained-schools-and-academies-inspections-and-outcomes-official-statistics,"Management information and official statistics on school inspection outcomes, judgement history and inspection dates for every English provider.",Ofsted,XLSX; CSV; ODS,~500 MB,Monthly management information covering all inspections,Open Government Licence v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,open,yes,"Ofsted, Inspections and outcomes official statistics",topics/education-and-schools/gb/dataset-05.json
udise-school-education-statistics,UDISE+ School Education Statistics,education-and-schools,in,India,https://udiseplus.gov.in/,"India's unified school information system with enrolment, teachers, infrastructure, drinking water, toilets and electricity for every recognised school.",Ministry of Education,XLSX; PDF; Web dashboard,Multi-GB,"1.5 million+ schools, 250 million+ students",Government Open Data License - India,https://www.data.gov.in/government-open-data-license-india,open,yes,"UDISE+, Ministry of Education, Government of India",topics/education-and-schools/in/dataset-01.json
all-india-survey-on-higher-education,All India Survey on Higher Education,education-and-schools,in,India,https://aishe.gov.in/aishe/home,"Annual census of Indian higher education institutions covering enrolment by level and discipline, faculty, infrastructure and finances.",Ministry of Education,PDF; XLSX,~1 GB,"1,100+ universities, 45,000+ colleges",Government Open Data License - India,https://www.data.gov.in/government-open-data-license-india,open,yes,"All India Survey on Higher Education, Ministry of Education",topics/education-and-schools/in/dataset-02.json
data-gov-in-education-sector,data.gov.in Education Sector,education-and-schools,in,India,https://www.data.gov.in/sector/education,"Open government catalogue of education datasets covering literacy rates, dropout rates, school infrastructure, scholarships and examination results.",National Informatics Centre,CSV; XLSX; JSON; REST API,Varies by resource,"5,000+ education resources",Government Open Data License - India,https://www.data.gov.in/government-open-data-license-india,open,yes,Open Government Data Platform India,topics/education-and-schools/in/dataset-03.json
nirf-india-rankings-data,NIRF India Rankings Data,education-and-schools,in,India,https://www.nirfindia.org/Rankings/2024/Ranking.html,"Official ranking framework data for Indian institutions with underlying scores for teaching, research, graduation outcomes, outreach and perception.","National Institutional Ranking Framework, Ministry of Education",PDF; XLSX,~200 MB,Annual rankings across 13 categories,Government Open Data License - India,https://www.data.gov.in/government-open-data-license-india,open,yes,"National Institutional Ranking Framework, Ministry of Education",topics/education-and-schools/in/dataset-04.json
aser-annual-status-of-education-report,ASER Annual Status of Education Report,education-and-schools,in,India,https://asercentre.org/,"Household-based survey measuring basic reading and arithmetic ability of rural Indian children, run annually across nearly every rural district.","ASER Centre, Pratham",PDF; XLSX; Stata,~500 MB,"600,000+ children surveyed per round",Free for research and non-commercial use with attribution,https://asercentre.org/,open,no,"ASER Centre, Annual Status of Education Report",topics/education-and-schools/in/dataset-05.json
ipeds-integrated-postsecondary-education-data-system,IPEDS Integrated Postsecondary Education Data System,education-and-schools,us,United States,https://nces.ed.gov/ipeds/,"Mandatory annual reporting from every US college and university covering enrolment, completions, tuition, financial aid, staffing and institutional finance.",National Center for Education Statistics,CSV; Access DB; REST API,~5 GB,"6,000+ institutions reporting annually since 1980",US Government public domain,https://nces.ed.gov/,open,yes,"National Center for Education Statistics, IPEDS",topics/education-and-schools/us/dataset-01.json
college-scorecard,College Scorecard,education-and-schools,us,United States,https://collegescorecard.ed.gov/data/,"Institution-level and field-of-study earnings, debt, completion and repayment outcomes linked from federal financial aid and tax records.",US Department of Education,CSV; REST API,~2 GB,"6,500+ institutions, 200,000+ field-of-study rows",US Government public domain,https://collegescorecard.ed.gov/data/,open,yes,"US Department of Education, College Scorecard",topics/education-and-schools/us/dataset-02.json
